Galaxy S21;Samsung;8;128;6.2;171;799;64+12+12
iPhone SE 2020;Apple;3;64;4.7;148;399;12
OnePlus 9;OnePlus;12;256;6.55;183;899;48+50+2
Moto G Power;Motorola;4;64;6.4;199;249;16+8+2+2
Redmi K40;Xiaomi;6;128;6.67;196;399;48+8+5
Pixel 6;Google;6;128;6.4;176;699;50+12+16
Galaxy Z Flip 3;Samsung;8;256;6.7;183;1099;12+12+12
iPhone 13 Pro;Apple;6;256;6.1;238;1099;12+12+12
Xperia 5 III;Sony;8;128;6.1;169;899;12+12+12
Redmi Note 10;Xiaomi;6;128;6.43;178;279;48+8+2+2
OnePlus Nord;OnePlus;6;128;6.44;184;399;48+8+5+2
Galaxy A72;Samsung;6;128;6.7;203;449;64+8+12+5
iPhone 12 Mini;Apple;4;64;5.4;133;699;12+12
Mi 11 Lite;Xiaomi;6;128;6.55;157;349;64+8+5
Zenfone 8;Asus;8;256;5.9;169;699;64+12+12